Sample Number, Language, Time, Number of Recursive Calls, Number of Transitions, Number of Compares
1,c++,0.040,88572,652988,2040951
2,c++,0.037,88572,652359,2040951
3,c++,0.038,88572,653804,2040951
4,c++,0.037,88572,652447,2040951
5,c++,0.037,88572,654124,2040951
6,c++,0.037,88572,653066,2040951
7,c++,0.037,88572,652892,2040951
8,c++,0.037,88572,652600,2040951
9,c++,0.037,88572,652993,2040951
10,c++,0.037,88572,653176,2040951
11,c++,0.037,88572,653791,2040951
12,c++,0.037,88572,654277,2040951
13,c++,0.037,88572,652837,2040951
14,c++,0.037,88572,652820,2040951
15,c++,0.037,88572,653101,2040951
16,c++,0.037,88572,653143,2040951
17,c++,0.037,88572,654024,2040951
18,c++,0.037,88572,653359,2040951
19,c++,0.037,88572,652993,2040951
20,c++,0.037,88572,652196,2040951
21,c++,0.037,88572,654219,2040951
22,c++,0.037,88572,652752,2040951
23,c++,0.037,88572,652795,2040951
24,c++,0.037,88572,652880,2040951
25,c++,0.037,88572,652611,2040951
26,c++,0.037,88572,653828,2040951
27,c++,0.037,88572,653846,2040951
28,c++,0.037,88572,653852,2040951
29,c++,0.037,88572,654080,2040951
30,c++,0.037,88572,653627,2040951
31,c++,0.037,88572,653532,2040951
32,c++,0.037,88572,652668,2040951
33,c++,0.041,88572,652691,2040951
34,c++,0.038,88572,653383,2040951
35,c++,0.037,88572,653152,2040951
36,c++,0.037,88572,653671,2040951
37,c++,0.037,88572,653445,2040951
38,c++,0.048,88572,652714,2040951
39,c++,0.037,88572,653454,2040951
40,c++,0.037,88572,653477,2040951
41,c++,0.037,88572,653806,2040951
42,c++,0.037,88572,653610,2040951
43,c++,0.037,88572,653659,2040951
44,c++,0.037,88572,653399,2040951
45,c++,0.037,88572,653250,2040951
